title,company,location,salary,description,url,date_posted,job_id
Binance Accelerator Program - Data Analyst (Binance Square),Binance,Remote,N/A,"Practical experience/skill of SQL, Python withdataanalytics.Supportdatarequests from business stakeholders with clear communication and requirement…",https://sg.indeed.com/rc/clk?jk=1023e860c648a6e2&bb=JTJqgTlZVRusOVJckAxpT2lWJ8Qw-_Kviu4b2JqakxbGN4BIBGwiNxWiPDZfERjK9WtFqCnNJXLkbgUQruhigINuOgzqop3DBdgFXK1C-SrHhqX4nfiNZ2_RHgthQdpr&xkcb=SoBc67M3198KGYgZDz0DbzkdCdPP&fccid=ac2ee5578fa99fc9&vjs=3,Not specified,1023e860c648a6e2
Business Data Analytics,Pumas Automation & Robotics Pte Ltd,Singapore,N/A,"Provide analysis and identify areas for performance improvement viadatamodelling,datamining, statistical analysis, simulation, optimisation & etc.",https://sg.indeed.com/rc/clk?jk=667b4e8c30158fc8&bb=JTJqgTlZVRusOVJckAxpT0jFKTd8vhmSEkT68UFkd8O9NMSd1yLc4vhVrvgNO8O4XZtQfs4ouzaACJf7aAB6W9gLuqKfwyAwr5IuSN11ZI7MksDu5jyFYYvmPhhm3HeX&xkcb=SoDo67M3198KGYgZDz0CbzkdCdPP&fccid=3b5ccb956e82d552&vjs=3,Not specified,667b4e8c30158fc8
Data Analyst - Singapore,IntersoftKK,Singapore,N/A,Develops technical understanding of how thedataflows from various source systems and source types to a modelled database solution in thedatawarehouse after…,https://sg.indeed.com/rc/clk?jk=018c709b946cac57&bb=JTJqgTlZVRusOVJckAxpTxmDpLwCXIgEfOm3rkqlmSviYwjXsveKZP8EJJ1rAge-X5-vRCU_rEXA1NHM1oUcNA2mBjFmzKdXoK1FOHlFFRnwW-MgA-ySHagK2Jnagh5y&xkcb=SoB167M3198KGYgZDz0BbzkdCdPP&fccid=299abef9338a7a44&vjs=3,Not specified,018c709b946cac57
Data Analyst,Rapsys Technologies,Singapore,"$6,000 - $8,000 a month","2-4 years of financial/business/dataanalystexperience.Collaboration: Work closely with cross-functional teams, includingdataengineers, business analysts…",https://sg.indeed.com/rc/clk?jk=72a6d211f0a5237e&bb=JTJqgTlZVRusOVJckAxpT7JOxpjM1U58fW37rJxfT_eweEUmsfC4OjibRA4HsV9Q6ZYz3L05l7ELD1gRoS0wFqijSVQrpTunQws9Yr_Kwb7PHtJeAo5GKz5gLxNtrhy4&xkcb=SoDB67M3198KGYgZDz0AbzkdCdPP&fccid=2ee7e763025b1d5d&cmp=Rapsys-Technologies-Pte.-Ltd&ti=Data+Analyst&vjs=3,Not specified,72a6d211f0a5237e
Business Analyst,Builder.ai - What would you Build?,Singapore,N/A,Knowledge of Python or R fordataanalysis is a bonus.Process Optimization: Identify inefficiencies in business processes and propose data-backed improvements.,https://sg.indeed.com/rc/clk?jk=5009d9a8fd4ddb89&bb=JTJqgTlZVRusOVJckAxpTzc5A76MaTcJ7erf1ZTZHAM8cdA_Pc0w81IuGhJjsTShvihkkJoViqDH4zBtUHwQf9nsBKAY5FhTJM3nJBi8R5R8dl7Oz6msO7tQ15GzSMsO&xkcb=SoBP67M3198KGYgZDz0HbzkdCdPP&fccid=f2413f058064dc95&vjs=3,Not specified,5009d9a8fd4ddb89
"Associate - Assurance, Forensic Data Analyst (2025 Graduates)",EY,Singapore,N/A,"The FDA team practices the full life cycle ofdataanalysis from the early stages ofdatadiscovery and capture to its management, analysis and reporting.",https://sg.indeed.com/rc/clk?jk=d7bc66f75d9f1c28&bb=JTJqgTlZVRusOVJckAxpTzBTHTRPC_2KGQp-uK3FRozUHAs1SkwvKqpJFUJLnwhZvi4ob0dAd9950mj7nY_fFpZzDmCV1x8P4jSqabYlGepc7j9d4wm2z9y0KE2iP5xb&xkcb=SoD767M3198KGYgZDz0GbzkdCdPP&fccid=1544766d4c2915b0&vjs=3,Not specified,d7bc66f75d9f1c28
"Intern, Data Analyst",Bosch Group,Singapore 573943,N/A,"Data Analysis & Reporting – Analyze Asia Pacific Customer Backlog (CBL)data, ensuredataquality, validatedata, identify root causes, and resolve issues to…",https://sg.indeed.com/rc/clk?jk=d60349e7839e16d2&bb=JTJqgTlZVRusOVJckAxpT51Fbs-xf7ZWIKcRTywOtxl4YGu-BBALyIGcDJyR7GxYjlDmrIyzG_W8q63WlT_NZemHFlUlUdwXNee4oyryI9sKoJxYl3_FtvxSZAFKZrsA&xkcb=SoBm67M3198KGYgZDz0FbzkdCdPP&fccid=a2faf1301ac6ad4b&vjs=3,Not specified,d60349e7839e16d2
Ad-hoc Data Analyst,Codingo Assignments Pte. Ltd.,Singapore,N/A,Good communication skills to presentdatafindings clearly and concisely.Develop and implement complexdataqueries to extract valuable insights from large…,https://sg.indeed.com/rc/clk?jk=013e0137abc7306e&bb=JTJqgTlZVRusOVJckAxpT74eUPm4A31zykN6Py4_rZplWos1ZC1Ok60nrR3-QZPB0V46cMxi51QHF4P5dbMf71KQRssi6oAfG2ckrkUf6gIjax-90LKzDTyzXAbCh9Uc&xkcb=SoDS67M3198KGYgZDz0EbzkdCdPP&fccid=6b862d0087b33d11&cmp=Codingo-Assignments-Pte.-Ltd.&ti=Data+Analyst&vjs=3,Not specified,013e0137abc7306e
TikTok Shop - Data Analyst,TikTok,Singapore,N/A,"Leveragedataanalysis expertise to designdatasolutions to solve commerce operation/product problems such as supply growth, seller growth and marketplace…",https://sg.indeed.com/rc/clk?jk=e741b961cf5c7f24&bb=p9OITpDa9rj7rTd08XpMUPJkplt3n_plG3TewnJ9mpDxU0xmB5ZSK9XgUD9Xo3n-sLgp3xhY33nALin-haBCqW1bH-xnVL_3pdGfTEv--ox4GPfmpnOdXflI4nKHsUrD&xkcb=SoBj67M3198D0vTHYR0LbzkdCdPP&fccid=caed318a9335aac0&vjs=3,Not specified,e741b961cf5c7f24
Data Analyst,"MODEC, Inc.",Singapore,N/A,"This role involves collaborating with various departments to understand theirdataneeds, extracting and transformingdatafrom multiple sources, and ensuring…",https://sg.indeed.com/rc/clk?jk=4e13027cfd3df1c2&bb=p9OITpDa9rj7rTd08XpMUMdfhIPBBUGS3qx9bWHQ9v2fTUkIYgU3b2R5Yxj9jJR7wmHA_VjoKAXeJmAX9H5wpoCThxj3A_DM2qdTS0Dbtc-CJjxMwHzd0_JFkwOVhuik&xkcb=SoDX67M3198D0vTHYR0KbzkdCdPP&fccid=8e954a38682688e2&vjs=3,Not specified,4e13027cfd3df1c2
